date_mutation,Unnamed: 0.1,id_mutation,valeur_fonciere,code_commune,code_departement,surface_reelle_bati,nombre_pieces_principales,surface_terrain,Appartement,Dependance,Local,Maison
2016-01-06,713,2016-1018774,777500.0,83118.0,83.0,106.0,3.0,914.0,0,0,0,1
2016-01-06,286,2016-123419,20500000.0,13211.0,13.0,135.0,6.0,610.0,0,0,0,1
2016-01-07,995,2016-1031995,1200000.0,83137.0,83.0,57.0,1.0,62810.0,0,0,0,1
2016-01-08,716,2016-1018932,345000.0,83050.0,83.0,131.0,6.0,500.0,0,0,0,1
2016-01-08,1247,2016-1045937,203000.0,84081.0,84.0,89.0,5.0,440.0,0,0,0,1
2016-01-08,1443,2016-1054706,215500.0,84019.0,84.0,103.0,4.0,774.0,0,0,0,1
2016-01-12,358,2016-127464,796900.0,13001.0,13.0,160.0,6.0,3000.0,0,0,0,1
2016-01-12,861,2016-1026258,97000.0,83073.0,83.0,65.0,4.0,68.0,0,0,0,1
2016-01-15,865,2016-1026455,610000.0,83146.0,83.0,150.0,4.0,6200.0,0,0,0,1
2016-01-15,1128,2016-1039743,377400.0,83049.0,83.0,103.0,5.0,628.0,0,0,0,1
2016-01-15,860,2016-1026215,210000.0,83140.0,83.0,29.0,2.0,48.0,1,0,0,0
2016-01-20,1362,2016-1051286,60000.0,84026.0,84.0,40.0,3.0,63.0,0,0,0,1
2016-01-22,1130,2016-1039856,215530.0,83049.0,83.0,96.0,4.0,1000.0,0,0,0,1
2016-01-22,1249,2016-1046041,1000000.0,84007.0,84.0,52.0,2.0,355.0,1,0,0,0
2016-01-22,1363,2016-1051331,640000.0,84102.0,84.0,160.0,5.0,1000.0,0,0,0,1
2016-01-25,1131,2016-1039911,260000.0,83049.0,83.0,73.0,3.0,401.0,0,0,0,1
2016-01-25,2,2016-107003,234000.0,13215.0,13.0,89.0,4.0,400.0,0,0,0,1
2016-01-26,362,2016-127671,222100.0,13091.0,13.0,40.0,2.0,48.0,0,0,0,1
2016-01-27,730,2016-1019652,411000.0,83058.0,83.0,247.0,5.0,2000.0,0,0,0,1
2016-01-29,863,2016-1026349,349700.0,83148.0,83.0,91.0,4.0,757.0,0,0,0,1
2016-01-29,536,2016-135814,174000.0,13047.0,13.0,75.0,3.0,374.0,0,0,0,1
2016-02-03,721,2016-1019208,260000.0,83086.0,83.0,65.0,3.0,254.0,0,0,0,1
2016-02-03,1365,2016-1051430,253000.0,84089.0,84.0,131.0,4.0,540.0,0,0,0,1
2016-02-04,92,2016-112400,455000.0,13207.0,13.0,32.0,2.0,133.0,1,0,0,0
2016-02-04,1138,2016-1040198,690000.0,83070.0,83.0,84.0,4.0,1137.0,0,0,0,1
2016-02-05,1000,2016-1032330,90000.0,83137.0,83.0,27.0,2.0,124.0,1,0,0,0
2016-02-05,905,2016-1028222,474000.0,83059.0,83.0,100.0,4.0,1055.0,0,0,0,1
2016-02-05,367,2016-127943,275000.0,13024.0,13.0,110.0,4.0,841.0,0,0,0,1
2016-02-05,864,2016-1026400,340000.0,83148.0,83.0,106.0,4.0,513.0,0,0,0,1
2016-02-05,871,2016-1026699,313000.0,83104.0,83.0,73.0,3.0,870.0,0,0,0,1
2016-02-09,1258,2016-1046416,40000.0,84043.0,84.0,45.0,2.0,73.0,0,0,0,1
2016-02-09,1257,2016-1046361,491524.0,84092.0,84.0,300.0,9.0,761.0,0,0,0,1
2016-02-10,369,2016-128030,3896000.0,13103.0,13.0,60.0,2.0,2492.0,1,0,0,0
2016-02-11,1136,2016-1040090,458800.0,83047.0,83.0,122.0,7.0,1000.0,0,0,0,1
2016-02-12,165,2016-117174,175000.0,13070.0,13.0,32.0,2.0,275.0,0,0,0,1
2016-02-15,1005,2016-1032668,168000.0,83137.0,83.0,235.0,9.0,498.0,0,0,0,1
2016-02-15,368,2016-128001,410000.0,13040.0,13.0,104.0,4.0,215.0,0,0,0,1
2016-02-17,642,2016-141099,90000.0,13004.0,13.0,54.0,2.0,48.0,0,0,0,1
2016-02-17,726,2016-1019447,425000.0,83085.0,83.0,95.0,3.0,2000.0,1,0,0,0
2016-02-18,542,2016-136141,240000.0,13047.0,13.0,90.0,4.0,405.0,0,0,0,1
2016-02-18,1449,2016-1054999,177300.0,84029.0,84.0,78.0,4.0,500.0,0,0,0,1
2016-02-22,1145,2016-1040560,225000.0,83070.0,83.0,200.0,5.0,544.0,0,0,0,1
2016-02-24,1263,2016-1046665,420000.0,84004.0,84.0,135.0,6.0,1000.0,0,0,0,1
2016-02-25,1366,2016-1051470,137900.0,84035.0,84.0,40.0,2.0,99.0,0,0,0,1
2016-02-29,1011,2016-1033048,240000.0,83126.0,83.0,83.0,3.0,602.0,0,0,0,1
2016-03-01,728,2016-1019545,840000.0,83068.0,83.0,83.0,5.0,72.0,0,0,0,1
2016-03-02,94,2016-112549,140000.0,13207.0,13.0,44.0,2.0,44.0,0,0,0,1
2016-03-03,1451,2016-1055094,203000.0,84091.0,84.0,104.0,4.0,1290.0,0,0,0,1
2016-03-03,732,2016-1019762,3250000.0,83118.0,83.0,330.0,8.0,200.0,0,0,0,1
2016-03-04,1010,2016-1032988,326000.0,83137.0,83.0,75.0,4.0,265.0,0,0,0,1
2016-03-04,550,2016-136464,372650.0,13081.0,13.0,95.0,5.0,588.0,0,0,0,1
2016-03-07,381,2016-128635,500000.0,13050.0,13.0,86.0,3.0,1565.0,0,0,0,1
2016-03-09,735,2016-1019921,115000.0,83118.0,83.0,30.0,1.0,15.0,1,0,0,0
2016-03-14,1265,2016-1046762,220000.0,84070.0,84.0,145.0,4.0,1500.0,0,0,0,1
2016-03-15,736,2016-1019973,315000.0,83061.0,83.0,90.0,3.0,522.0,0,0,0,1
2016-03-15,297,2016-123989,350000.0,13075.0,13.0,107.0,5.0,389.0,0,0,0,1
2016-03-18,384,2016-128794,294500.0,13110.0,13.0,94.0,3.0,376.0,0,0,0,1
2016-03-22,100,2016-112993,600000.0,13207.0,13.0,92.0,4.0,300.0,0,0,0,1
2016-03-23,298,2016-124052,545000.0,13212.0,13.0,127.0,4.0,524.0,0,0,0,1
2016-03-24,879,2016-1027088,220000.0,83012.0,83.0,90.0,3.0,599.0,0,0,0,1
2016-03-24,1269,2016-1046966,416250.0,84004.0,84.0,143.0,4.0,1117.0,0,0,0,1
2016-03-24,655,2016-141555,480000.0,13100.0,13.0,32.0,2.0,906.0,0,0,0,1
